Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Jimmy Butler,35,SF,30,30,32.7,5.3,11.1,.476,0.6,2.3,.279,4.7,8.9,.526,.504,6.7,7.7,.870,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1.0,17.9,,butleji01
2,Stephen Curry,36,PG,70,70,32.2,8.1,18.0,.448,4.4,11.2,.397,3.6,6.8,.534,.572,4.0,4.3,.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,,curryst01
3,Andrew Wiggins,29,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,,wiggian01
4,Draymond Green,34,PF,68,66,29.2,3.2,7.5,.424,1.2,3.6,.325,2.0,3.9,.517,.503,1.5,2.2,.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,,greendr01
5,Brandin Podziemski,21,SG,64,33,26.8,4.4,9.8,.445,1.8,4.8,.372,2.6,5.0,.516,.537,1.1,1.5,.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,,podzibr01
6,Dennis Schröder,31,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,,schrode01
7,Jonathan Kuminga,22,PF,47,10,24.3,5.5,12.1,.454,1.0,3.2,.305,4.5,8.9,.508,.495,3.3,5.0,.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,,kuminjo01
8,Buddy Hield,32,SG,82,22,22.7,4.0,9.6,.417,2.5,6.7,.370,1.5,2.9,.527,.546,0.6,0.8,.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1,,hieldbu01
9,Moses Moody,22,SG,74,34,22.3,3.3,7.7,.433,1.7,4.6,.374,1.6,3.1,.519,.544,1.4,1.8,.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,,moodymo01
10,De'Anthony Melton,26,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,meltode01
11,Lindy Waters III,27,SG,38,9,17.2,2.0,5.4,.371,1.3,3.9,.331,0.7,1.5,.474,.490,0.2,0.3,.727,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,5.5,,waterli01
12,Quinten Post,24,PF,42,14,16.3,2.9,6.5,.449,1.7,4.3,.408,1.2,2.3,.526,.582,0.5,0.6,.778,0.8,2.7,3.5,1.3,0.4,0.4,0.8,2.0,8.1,,postqu01
13,Trayce Jackson-Davis,24,C,62,37,15.6,2.8,4.9,.576,0.0,0.0,.000,2.8,4.8,.582,.576,1.0,1.6,.578,2.0,3.0,5.0,1.7,0.4,0.6,0.7,1.2,6.6,,jackstr02
14,Kevon Looney,28,C,76,6,15.0,1.9,3.7,.514,0.0,0.1,.400,1.9,3.6,.516,.518,0.7,1.3,.566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,4.5,,looneke01
15,Gary Payton II,32,SG,62,11,15.0,2.8,4.8,.574,0.5,1.5,.326,2.3,3.3,.690,.626,0.4,0.6,.711,0.9,2.1,3.0,1.3,0.8,0.3,0.6,1.7,6.5,,paytoga02
16,Kyle Anderson,31,PF,36,3,15.0,2.1,4.7,.450,0.5,1.4,.365,1.6,3.3,.487,.506,0.5,0.8,.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,,anderky01
17,Gui Santos,22,PF,56,2,13.6,1.5,3.2,.458,0.6,1.8,.330,0.9,1.4,.632,.553,0.5,0.8,.690,1.3,1.8,3.1,1.4,0.4,0.2,0.8,1.6,4.1,,santogu01
18,Jackson Rowe,28,PF,6,0,8.7,1.3,2.8,.471,0.5,1.7,.300,0.8,1.2,.714,.559,0.5,1.0,.500,0.5,1.3,1.8,0.7,0.7,0.0,0.2,0.7,3.7,,roweja01
19,Yuri Collins,23,PG,2,0,8.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,,colliyu01
20,Pat Spencer,28,PG,39,0,6.4,1.1,2.6,.406,0.1,0.6,.227,0.9,2.0,.456,.431,0.3,0.4,.733,0.4,0.8,1.2,1.2,0.4,0.1,0.5,0.5,2.5,,spencpa01
21,Kevin Knox,25,SF,14,0,6.0,1.3,2.6,.500,0.3,1.1,.267,1.0,1.5,.667,.556,0.4,0.6,.750,0.5,0.7,1.2,0.4,0.1,0.3,0.3,0.4,3.3,,knoxke01
22,Braxton Key,27,SF,3,0,3.7,0.0,1.3,.000,0.0,0.3,.000,0.0,1.0,.000,.000,1.0,2.0,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.0,,keybr01
23,Reece Beekman,23,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,,beekmre01
,Team Totals,,,82,82,240.6,40.8,90.4,.451,15.4,42.4,.364,25.3,48.0,.528,.536,16.9,22.1,.764,12.5,32.8,45.4,29.1,9.4,4.8,14.0,19.2,113.8,,-9999
GSW_2025_PerGame.csv

